plant_species,synonyms,family,native_introduced,color,fleshy_dry,dehiscent_indehiscent,number_s_per_f,number_s_per_f_uncertainty,number_s_per_f_lower_bound,number_s_per_f_upper_bound,number_s_per_f_sd_se,number_s_per_f_sample_size,s_length,s_length_uncertainty,s_length_lower_bound,s_length_upper_bound,s_length_sd_se,s_length_sample_size,s_width,s_width_uncertainty,s_width_lower_bound,s_width_upper_bound,s_width_sd_se,s_width_sample_size,s_mass,dry_wet_s,s_mass_uncertainty,s_mass_lower_bound,s_mass_upper_bound,s_mass_sd_se,s_mass_sample_size,f_length,f_length_uncertainty,f_length_lower_bound,f_length_upper_bound,f_length_sd_se,f_length_sample_size,f_width,f_width_uncertainty,f_width_lower_bound,f_width_upper_bound,f_width_sd_se,f_width_sample_size,f_mass,dry_wet_f,f_mass_uncertainty,f_mass_lower_bound,f_mass_upper_bound,f_mass_sd_se,f_mass_sample_size,citations
Strychnos panurensis,,,,,,,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Range,15,20,NA,0,NA,,,NA,NA,NA,NA,"Romero-González 2015, Krukoff 1942, Woodson 1967"
Strychnos schultesiana,,Loganiaceae,N,Yellow,D,I,30,None Specified,NA,NA,NA,0,12.1,None Specified,NA,NA,NA,0,11.2,None Specified,NA,NA,NA,0,0.6,W,None Specified,NA,NA,NA,0,90,None Specified,NA,NA,NA,0,62.5,None Specified,NA,NA,NA,0,135.6,W,None Specified,NA,NA,NA,0,"Stevenson 2023, Link 2004, Yumoto et al. 1999"
Strychnos schultesiana,,,,,,,NA,,NA,NA,NA,NA,20,None Specified,NA,NA,NA,5,17.3,None Specified,NA,NA,NA,6,NA,,,NA,NA,NA,NA,62.5,None Specified,NA,NA,NA,0,70,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"Stevenson 2023, Link 2004, Yumoto et al. 1999"
Strychnos schultesiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,70,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Link 2004, Yumoto et al. 1999"
Stryphnodendron guianense,"Acacia guinanensis, Folianthera guianensis, Mimosa guianensis, Piptadenia guianensis , Stryphnodendron purpureum",Fabaceae,N,Black,D,I,10,None Specified,NA,NA,NA,5,8,None Specified,NA,NA,NA,5,6.6,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,90,None Specified,NA,NA,NA,5,10,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson et al. 2002"
Stryphnodendron guianense,,,,,,,NA,Range,7,13,NA,0,NA,Range,7,9,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,70,100,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson et al. 2002"
Stryphnodendron polystachyum,Gwilymia polystachya,Fabaceae,N,NA,D,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Styrax ferrugineus,"Strigilia ferruginea, Strigilia florida, Strigilia nervosa, Strigilia nervosa, Strigilia reticulata, Styrax burchellii, Styrax ferrugineus, Styrax floridus, Styrax nervosus, Styrax parvifolius, Styrax reticulatus",Styracaceae,N,Black/Purple,F,I,NA,,NA,NA,NA,NA,7.6,Unknown +/-,NA,NA,0.5,100,4.9,Unknown +/-,NA,NA,0.3,100,NA,D,Range,0.088888889,0.109090909,NA,100,8.7,Unknown +/-,NA,NA,0.7,100,7.2,Unknown +/-,NA,NA,0.6,100,0.32,D,Unknown +/-,NA,NA,0.06,100,"Alves-Costa et al. 2007, Maruyama 2019"
Styrax ferrugineus,,,,,,,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,9,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Alves-Costa et al. 2007, Maruyama 2019"
Styrax guianensis,"Styrax longifolius, Styrax tessmannii, Styrax japurense",Styracaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Swartzia arborescens,,Fabaceae,N,Green,F,D,NA,Range,1,2,NA,0,25,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,6,1.16,W,None Specified,NA,NA,NA,0,NA,Range,40,100,NA,0,28,None Specified,NA,NA,NA,0,4.4,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002"
Swartzia arborescens,,,,,,,1.25,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002"
Swartzia arborescens,,,,,,,1,None Specified,NA,NA,NA,6,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.41,D,None Specified,NA,NA,NA,0,60,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,1.42,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002"
Swartzia benthamiana,Tounatea benthamiana,Fabaceae,N,Green/Brown,F,D,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11.45,W,None Specified,NA,NA,NA,17,21.90771429,SD,NA,NA,8.033912283,7,9.488571429,SD,NA,NA,3.09883316,7,NA,,,NA,NA,NA,NA,"Hammond 1995, https://ser-sid.org/species/b8b4916f-2203-49da-9b86-b328a9997127, https://fm-digital-assets.fieldmuseum.org/1395/251/V0366188F.jpg"
Swartzia leptopetala,Tounatea leptopetala ,Fabaceae,N,Green,F,D,NA,,NA,NA,NA,NA,50.14,None Specified,NA,NA,NA,1,13.492,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,49.246,SD,NA,NA,20.84267948,2,22.158,SD,NA,NA,0.101823377,2,NA,,,NA,NA,NA,NA,"Link 2004, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:519927-1/images (K001474487), https://fm-digital-assets.fieldmuseum.org/1396/153/V0366881F.jpg"
Swartzia panacoco,"Robinia panacoco, Tounatea panacoco",Fabaceae,N,Green/Brown,F,D,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,115,130,NA,0,NA,Range,40,45,NA,0,NA,,,NA,NA,NA,NA,Jesus 2003
Swartzia polyphylla,"Tounatea polyphylla, Swartzia opacifolia, Swartzia platygyne, Swartzia urubuensis",Fabaceae,N,Orange/Red,F,D,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,30.236,D,SE,NA,NA,2.256,10,85.25,SD,NA,NA,6.717514421,2,37.8,SD,NA,NA,3.111269837,2,38.43,D,SE,NA,NA,5.75,10,"Souza 2023, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:519994-1/images (K000111274), Parolin 2000, Williamson 1999"
Syagrus oleracea,"Cocos oleracea, Calappa oleracea, Syagrus gomesii, Cocos flexuosa, Cocos picrophylla, Syagrus flexuosa",Arecaceae,N,Yellow/Gray,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Syagrus pseudococos,,Arecaceae,,Yellow,F,I,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,18.335,W,SD,NA,NA,2.47,34,42.5,None Specified,NA,NA,NA,0,35,None Specified,NA,NA,NA,0,33.3,NA,None Specified,NA,NA,NA,0,"Galetti 2015, Guimarães 2008, Kissling 2019"
Syagrus pseudococos,,,,,,,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,18.335,W,SD,NA,NA,2.47,34,NA,Range,60,70,NA,0,NA,Range,38,40,NA,0,33.3,NA,None Specified,NA,NA,NA,0,"Galetti 2015, Guimarães 2008, Kissling 2019"
Syagrus romanzoffiana,"Arecastrum romanzoffianum, Calappa plumosa, Calappa romanzoffiana, Cocos acrocomioide, Cocos arechavaletana, Cocos australis, Cocos datil, Cocos geriba, Cocos martiana, Cocos plumosa, Cocos romanzoffiana, Cocos sapida",Arecaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.39,W,SD,NA,NA,1.87,120,NA,Range,20,30,NA,0,NA,Range,12,18,NA,0,10.55,W,SD,NA,NA,1.06,100,"Lescano 2018, Galetti 2015, Kissling 2019, Motta-Junior 2002"
Syagrus romanzoffiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.73,W,SD,NA,NA,0.22,100,28.21,SD,NA,NA,1.15,100,24.27,SD,NA,NA,1.4,100,5.2,W,None Specified,NA,NA,NA,0,"Lescano 2018, Galetti 2015, Kissling 2019, Motta-Junior 2002"
Syagrus sancona,,Arecaceae,N,Yellow/Orange,F,I,1,None Specified,NA,NA,NA,6,30,None Specified,NA,NA,NA,5,19,None Specified,NA,NA,NA,5,5.09,D,None Specified,NA,NA,NA,5,33,None Specified,NA,NA,NA,5,24,None Specified,NA,NA,NA,5,6.8975,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002"
Syagrus sancona,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20,None Specified,NA,NA,NA,6,5.845,W,None Specified,NA,NA,NA,5,NA,Range,30,35,NA,0,NA,Range,15,23,NA,0,11.785,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002"
Symphonia globulifera,"Moronobea globulifera, Symphonia esculenta, Symphonia gabonensis, Symphonia microphylla, Symphonia ultissima, Actinostigma speciosum, Aneuriscus aubletii, Aneuriscus exserens, Moronobea exerens",Clusiaceae,N,Green,F,I,1,None Specified,NA,NA,NA,1,31.4,None Specified,NA,NA,NA,1,25.5,None Specified,NA,NA,NA,1,2.03,D,None Specified,NA,NA,NA,17,43,SD,NA,NA,4.242640687,2,38.3,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Hammond 1995, Daws 2005, Dick 2008"
Symphonia globulifera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.334,D,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Hammond 1995, Daws 2005, Dick 2008"
Symphonia globulifera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6.92,W,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Hammond 1995, Daws 2005, Dick 2008"
Syzygium cumini,"Calyptranthes cumini, Eugenia cumini, Myrtus cumini, Syzygium brachiatum, Syzygium caryophyllifolium, Syzygium fruticosum, Syzygium jambolanum, Syzygium obovatum, Syzygium obtusifolium, Syzygium pseudojambolana, Syzygium tenue, Calyptranthes capitellata, Calyptranthes caryophyllifolia, Eugenia caryophyllifolia, Calyptranthes cuminodora, Calyptranthes jambolana, Eugenia jambolana, Calyptranthes jambolifera, Eugenia jambolifera, Calyptranthes oneillii, Calyptranthes pendunculata, Jambolifera pendunculata, Calyptranthes tenuis, Eugenia tenuis, Caryophyllus corticosus, Caryophyllus jambos, Eugenia brachiata, Eugenia calyptrata, Eugenia djouat, Eugenia fruticosa, Eugenia obovata, Myrtus obovata, Eugenia obtusifolia, Eugenia odorata, Eugenia tsoi, Jambolifera chinensis, Jambolifera coromandelica, Myrtus corticosa",Myrtaceae,Y,Purple,F,I,NA,Range,1,5,NA,0,8.9,SD,NA,NA,0.7,3,7.05,SD,NA,NA,1.382027496,4,NA,NA,Range,1.3,2.36,NA,0,NA,Range,22.2,45.1,NA,0,NA,Range,16.6,30.4,NA,0,NA,NA,Range,4.8,17.6,NA,0,"Donatti 2007, Ramya 2012, Chhikara 2018, https://collections-botany.fieldmuseum.org/catalogue/2778757"
Syzygium cumini,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,21.3,Unknown +/-,NA,NA,2.2,30,17.1,Unknown +/-,NA,NA,2.4,30,4.2,W,Unknown +/-,NA,NA,1.2,30,"Donatti 2007, Ramya 2012, Chhikara 2018, https://collections-botany.fieldmuseum.org/catalogue/2778757"
Talisia intermedia ,Melicoccus oliviformis,Sapindaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,14,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,3.68,D,None Specified,NA,NA,NA,6,"Link 2004, Stevenson 2002, Stevenson 2005, Duncan 2019"
Talisia intermedia ,,,,,,,1,None Specified,NA,NA,NA,6,22,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,6,NA,,,NA,NA,NA,NA,22,None Specified,NA,NA,NA,0,25.75,SD,NA,NA,12.8945725,4,8.6,W,None Specified,NA,NA,NA,6,"Link 2004, Stevenson 2002, Stevenson 2005, Duncan 2019"
Talisia obovata,,Sapindaceae,N,Brown/Yellow,F,I,1,None Specified,NA,NA,NA,0,22.761,SD,NA,NA,1.579676549,2,11.3015,SD,NA,NA,0.506995562,2,NA,,,NA,NA,NA,NA,18.1365,SD,NA,NA,1.633595115,4,10.37675,SD,NA,NA,1.472108097,4,NA,,,NA,NA,NA,NA,"https://collections-botany.fieldmuseum.org/catalogue/3051804, http://legacy.tropicos.org/Image/100458074"
Talisia retusa,Talisia heterodoxa,Sapindaceae,N,Brown,F,I,NA,,NA,NA,NA,NA,15.85,None Specified,NA,NA,NA,1,7,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,33.9,None Specified,NA,NA,NA,1,29.5,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Grafton 2004, https://fm-digital-assets.fieldmuseum.org/945/342/V0302505F.jpg"
Tapirira guianensis,,Anacardiaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.026,W,None Specified,NA,NA,NA,0,9.5,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,0.1158,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Stevenson 2002, Knörr 2010, Link 2004, Sánchez 2013, Foster 1985"
Tapirira guianensis,,,,,,,1,None Specified,NA,NA,NA,5,10.6,None Specified,NA,NA,NA,0,5,None Specified,NA,NA,NA,6,0.0579,D,None Specified,NA,NA,NA,5,7.5,None Specified,NA,NA,NA,0,12.5,None Specified,NA,NA,NA,0,0.87,NA,None Specified,NA,NA,NA,0,"Stevenson 2023, Stevenson 2002, Knörr 2010, Link 2004, Sánchez 2013, Foster 1985"
Tapirira guianensis,,,,,,,NA,,NA,NA,NA,NA,9,None Specified,NA,NA,NA,5,6.2,None Specified,NA,NA,NA,0,0.24,NA,None Specified,NA,NA,NA,0,12.8,None Specified,NA,NA,NA,0,7,None Specified,NA,NA,NA,5,0.2316,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Stevenson 2002, Knörr 2010, Link 2004, Sánchez 2013, Foster 1985"
Tapirira guianensis,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.2,D,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Knörr 2010, Link 2004, Sánchez 2013, Foster 1985"
Tapirira obtusa,"Mauria obtusa, Tapirira marchandii, Tapirira pao-pombo, Tapirira peckoltiana",Anacardiaceae,N,Green/Brown,F,I,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,3,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,Lessa 2013
Tapirira peckoltiana,"Mauria obtusa, Tapirira marchandii, Tapirira pao-pombo, Tapirira obtusa",Anacardiaceae,N,Green/Brown,F,I,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,3,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,Lessa 2013
Telitoxicum krukovii,,Menispermaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Telitoxicum minutiflorum,Anomospermum minutiflorum,Menispermaceae,N,Green/Gray,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,26,None Specified,NA,NA,NA,0,17,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,Krukoff 1938
Tetragastris altissima,Protium altissima,Burseraceae,N,Red,F,D,2.7,SD,NA,NA,0.09,83,16,SD,NA,NA,0.2,212,8,SD,NA,NA,0.1,212,0.49,D,None Specified,NA,NA,NA,10,13,SD,NA,NA,4,0,8,SD,NA,NA,3.11,0,NA,,,NA,NA,NA,NA,"Oliveira 2000, Norden 2009, Hammond 1995, Ratiarison 2005"
Tetragastris altissima,,,,,,,4,SD,NA,NA,2.309401077,4,13,SD,NA,NA,4,0,8,SD,NA,NA,3.11,0,1.08,W,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Oliveira 2000, Norden 2009, Hammond 1995, Ratiarison 2005"
Tetragastris altissima,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.32,D,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Oliveira 2000, Norden 2009, Hammond 1995, Ratiarison 2005"
Tetragastris altissima,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.8,W,SD,NA,NA,0.01,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Oliveira 2000, Norden 2009, Hammond 1995, Ratiarison 2005"
Tetragastris panamensis,,Burseraceae,N,Purple,F,D,5.5,SD,NA,NA,0.707106781,2,11.9,SD,NA,NA,0.860232527,5,7.18,SD,NA,NA,1.143241007,5,0.522,NA,None Specified,NA,NA,NA,0,40,SD,NA,NA,1.414213562,2,36.45,SD,NA,NA,2.333452378,2,NA,,,NA,NA,NA,NA,"Boissier 2020, Howe 1979, Steven 1994"
Tetragastris panamensis,,,,,,,NA,,NA,NA,NA,NA,NA,Range,14,21,NA,0,NA,Range,11,18,NA,0,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Boissier 2020, Howe 1979, Steven 1994"
Theobroma obovatum,,Malvaceae,N,Brown/Yellow,F,I,NA,Range,13,16,NA,0,8.705571429,SD,NA,NA,2.93131841,7,5.815571429,SD,NA,NA,1.432600882,7,NA,,,NA,NA,NA,NA,45.2,None Specified,NA,NA,NA,1,34.1,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Guimarães 2008, https://d2seqvvyy3b8p2.cloudfront.net/25ce00cdb182197eca9754d0ebf1e47d.jpg"
Theobroma obovatum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,80,100,NA,0,NA,Range,50,60,NA,0,NA,,,NA,NA,NA,NA,"Guimarães 2008, https://d2seqvvyy3b8p2.cloudfront.net/25ce00cdb182197eca9754d0ebf1e47d.jpg"
Theobroma subincanum,Theobroma subicana,Malvaceae,N,Brown,F,I,30,None Specified,NA,NA,NA,5,20,None Specified,NA,NA,NA,5,15,None Specified,NA,NA,NA,5,0.64,D,None Specified,NA,NA,NA,5,110,None Specified,NA,NA,NA,5,85,None Specified,NA,NA,NA,5,78.9122302,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Guimarães 2008"
Theobroma subincanum,,,,,,,NA,Range,25,30,NA,0,NA,Range,10,25,NA,0,NA,Range,12,16,NA,0,1.06,W,None Specified,NA,NA,NA,5,NA,Range,70,110,NA,0,NA,Range,50,70,NA,0,NA,NA,Range,100,250,NA,0,"Stevenson 2023, Guimarães 2008"
Theobroma subincanum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,250,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Guimarães 2008"
Tococa bullifera,Miconia bullifera,Melastomataceae,N,Red,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,7.1,8.8,NA,0,NA,Range,5.9,6.3,NA,0,NA,,,NA,NA,NA,NA,Corrêa 2017
Tontelea attenuata,"Salacia attenuata, Maytenus amygdalina, Tontelea longifolia",Hippocrateaceae,N,Yellow,F,I,3.5,SD,NA,NA,0.707106781,2,20.58571429,SD,NA,NA,3.365228358,7,18.3,SD,NA,NA,2.487565108,6,NA,,,NA,NA,NA,NA,57.14233333,SD,NA,NA,1.331285219,3,52.3,SD,NA,NA,3.39854459,3,NA,,,NA,NA,NA,NA,"https://fm-digital-assets.fieldmuseum.org/791/915/V0277661F.jpg, Stevenson 2023"
Tontelea attenuata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,25.5,None Specified,NA,NA,NA,5,20,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"https://fm-digital-assets.fieldmuseum.org/791/915/V0277661F.jpg, Stevenson 2023"
Tontelea mauritioides,"Salacia mauritioides, Salacia weberbaueri, Tontelea weberbaueri ",Hippocrateaceae,N,NA,F,I,4,None Specified,NA,NA,NA,7.5,9.6,None Specified,NA,NA,NA,1,7,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,22.754,SD,NA,NA,6.985062873,4,16.88775,SD,NA,NA,5.87864567,4,15,W,None Specified,NA,NA,NA,7.5,"García 2020, https://fm-digital-assets.fieldmuseum.org/57/049/V0060737F.jpg"
Tontelea mauritioides,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,20,None Specified,NA,NA,NA,7.5,12,None Specified,NA,NA,NA,7.5,NA,,,NA,NA,NA,NA,"García 2020, https://fm-digital-assets.fieldmuseum.org/57/049/V0060737F.jpg"
Touroulia amazonica,,Ochnaceae,N,NA,F,I,NA,,NA,NA,NA,NA,11,None Specified,NA,NA,NA,0,4,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,NA,Range,16,21,NA,0,NA,Range,14,20,NA,0,NA,,,NA,NA,NA,NA,Zizka 1999
Trattinnickia aspera,,Burseraceae,N,Red,F,D,NA,,NA,NA,NA,NA,10.9,None Specified,NA,NA,NA,30,9,None Specified,NA,NA,NA,30,0.29,D,None Specified,NA,NA,NA,30,10.41995455,SD,NA,NA,0.6873965,22,9.14586364,SD,NA,NA,0.82111732,22,NA,,,NA,NA,NA,NA,"Dalling 1997, Obregón 2007, https://fm-digital-assets.fieldmuseum.org/184/631/BURS_trat_aspe_2002170.jpg"
Trattinnickia aspera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.285,D,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Dalling 1997, Obregón 2007, https://fm-digital-assets.fieldmuseum.org/184/631/BURS_trat_aspe_2002170.jpg"
Trichilia micrantha ,,Meliaceae,N,Green/Red,D,D,1,None Specified,NA,NA,NA,6,NA,,NA,NA,NA,NA,5,None Specified,NA,NA,NA,6,NA,,,NA,NA,NA,NA,NA,Range,7,8,NA,0,NA,Range,4,5,NA,0,0.36,D,None Specified,NA,NA,NA,6,"Stevenson 2002, Link 2004, Fernandes-Júnior 2017"
Trichilia micrantha ,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,10,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,0.6,W,None Specified,NA,NA,NA,6,"Stevenson 2002, Link 2004, Fernandes-Júnior 2017"
Trichilia pleeana,,Meliaceae,N,Green,D,D,1.6,None Specified,NA,NA,NA,6,29.1,None Specified,NA,NA,NA,1,6.5,None Specified,NA,NA,NA,1,0.55,D,None Specified,NA,NA,NA,0,27.1,None Specified,NA,NA,NA,1,16.7,None Specified,NA,NA,NA,1,0.71,D,None Specified,NA,NA,NA,6,"Stevenson 2002, Foster 1985, Pennington 2006 Meliaceae, Terborgh 2011, Stevenson 2023"
Trichilia pleeana,,,,,,,NA,,NA,NA,NA,NA,19.5,None Specified,NA,NA,NA,5,4,None Specified,NA,NA,NA,6,0.62,W,None Specified,NA,NA,NA,0,22,None Specified,NA,NA,NA,5,22,None Specified,NA,NA,NA,5,2,W,None Specified,NA,NA,NA,6,"Stevenson 2002, Foster 1985, Pennington 2006 Meliaceae, Terborgh 2011, Stevenson 2023"
Trichilia pleeana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11.1,None Specified,NA,NA,NA,5,1.47333333,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6.76,W,None Specified,NA,NA,NA,5,"Stevenson 2002, Foster 1985, Pennington 2006 Meliaceae, Terborgh 2011, Stevenson 2023"
Trichilia pleeana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.84555556,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.33,D,None Specified,NA,NA,NA,5,"Stevenson 2002, Foster 1985, Pennington 2006 Meliaceae, Terborgh 2011, Stevenson 2023"
