Article ID,Full Citation
Cloutier 2005,"Cloutier, D., Povoa, J. S. R., Procopio, L. C., Leao, N. V. M., De Wadt, L. H., Ciampi, A. Y., & Schoen, D. J. (2005). Chioroplast DNA variation of Carapa guianensis in the Amazon basin. Environmental Science, Biology. doi:doi.org/10.1515/sg-2005-0039"
Vascular Plants of Arizona Editorial Committee 1992+,Vascular Plants of Arizona Editorial Committee. (1992+). Vascular plants of Arizona. Journal of Arizona-Nevada Academy of Science. Retrieved from http://www.canotia.org/vpa_project.html
Connor 2007,"Connor, K., Schaefer, G., Donahoo, J., Devall, M., Gardiner, E., Hawkins, T., . . . Leininger, T. (2007). Development, fatty acid composition, and storage of drupes and seeds from the endangered pondberry (Lindera melissifolia). Biological Conservation, 137(4), 489-496. doi:10.1016/j.biocon.2007.03.011"
Corrêa 2017,"Corrêa, A. L., Scudeller, V. V., & Goldenberg, R. (2017). Melastomataceae in the Reserva de Desenvolvimento Sustentável do Tupé, Amazonas, Brazil. Phytotaxa, 323(2). doi:10.11646/phytotaxa.323.2.1"
Correa 2015,"Correa, S. B., Araujo, J. K., Penha, J. M. F., da Cunha, C. N., Stevenson, P. R., & Anderson, J. T. (2015). Overfishing disrupts an ancient mutualism between frugivorous fishes and plants in Neotropical wetlands. Biological Conservation, 191, 159-167. doi:10.1016/j.biocon.2015.06.019"
Correa 2007,"Correa, S. B., Winemiller, K. O., Lopez-Fernandez, H., & Galetti, M. (2007). Evolutionary perspectives on seed consumption and dispersal by fishes. BioScience, 57(9), 748-756. doi:10.1641/B570907"
Correal 2004,"Correal, B. H. R. (2004). Dispersion de semillas de Astrocaryum chambira Burret (Arecaceae) en dos bosques de tierra firme sometidos a diferente grando de intervencion antropica en la comunidad indigena de Macedonia (Amazonas, Colombia). (Unpublished undergrad Thesis). Universid de Los Andes, Bogota, D.C."
Corvalán 2007,"Corvalán, P. U., & M., L. (2007). Caracterización morfológica de semillas de algunas especies de los géneros Cassia L. y Senna Mill. (Leguminosae Juss.). Revista de la Facultad de Agronomía de la Universidad del Zulia, 24, 426-441."
Costa 2023,"Costa, G., Piedade, M. T. F., Ferreira, E. J., & Maltchik, L. (2023). The effectiveness of ichthyochoric dispersal in forested wetlands of the Amazon depends on the species of fish and its size. Forest Ecology and Management, 549. doi:10.1016/j.foreco.2023.121481"
Coutant 2022,"Coutant, O., Boissier, O., Ducrettet, M., Albert-Daviaud, A., Bouiges, A., Dracxler, C. M., . . . Forget, P.-M. (2022). Roads Disrupt Frugivory and Seed Removal in Tropical Animal-Dispersed Plants in French Guiana. Frontiers in Ecology and Evolution, 10. doi:10.3389/fevo.2022.805376"
Cowan 1953,"Cowan, R. S. (1953). A taxonomic revision of the genus Macrolobium. In Memoirs of the New York Botanical Garden (4 ed., Vol. 8, pp. 257-342). New York, NY: New York Botanical Garden."
Cramer 2007,"Cramer, J. M. (2007). Forest fragmentation effects on seed dispersal, seed fate, and fruit production of Duckeodendron cestroides and Bocageopsis multiflora in the Brazilian Amazon. (Unpublished doctoral dissertation). Louisiana State University and Agricultural and Mechanical College, Louisiana, US."
Cramer et al. 2007,"Cramer, J. M., Mesquita, R. C. G., Bentos, T. V., Moser, B., & Williamson, G. B. (2007). Forest fragmentation reduces seed dispersal of Duckeodendron cestroides, a Central Amazon endemic. Biotropica, 39(6), 709-718. doi:10.1111/j.1744-7429.2007.00317.x"
Cremers 1990,"Cremers, G. (1990). Nature Guyanaise. French Guiana: Nature Guyanaise (Sepanguy)."
Croat 1978,"Croat, T. B. (1978). Flora of Barro Colorado Island. Redwood City, CA: Stanford University Press."
Croizat 1943,"Croizat, L. (1943). Euphorbiaceae cataceaeque novae vel criticae Colombianae. Caldasia, 2(7), 123-139. Retrieved from https://www.jstor.org/stable/23640942"
Cuatle 2005,"Cuautle, M., Rico-Gray, V., & Diaz-Castelazo, C. (2005). Effects of ant behaviour and presence of extrafloral nectaries on seed dispersal of the Neotropical myrmecochore Turnera ulmifolia L. (Turneraceae). Biological Journal of the Linnean Society, 86, 67-77."
Cuéllar 1998,"Cuéllar, E., S., M. R., Noss, A., Pacheco, L. F., & Simonetti, J. A. (1998). Ecología en Bolivia. (31 Unpublished Undergrad thesis)."
Cuevas 2003,"Cuevas, J., Hueso, J. J., & Puertas, M. (2003). Pollination requirements of loquat (Eriobotrya japonicaLindl.), cv. `Algerie'. Fruits, 58(3), 157-165. doi:10.1051/fruits:2003004"
Susanto 2018,"Susanto, D., Sudrajat, Suwinarti, W., & Amirta, R. (2018). Seed germination and cuttings growth of Piper Aduncum. IOP Conference Series: Earth and Environmental Science, 144. doi:10.1088/1755-1315/144/1/012018"
Costa 2022,"Costa, R. D. S. d., Rodrigues, A. M. d. C., & Silva, L. H. M. d. (2022). The fruit of peach palm (Bactris gasipaes) and its technological potential: an overview. Food Science and Technology, 42. doi:10.1590/fst.82721"
Silva 2013,"Silva, A. M. da, & Melo, C. d. (2013). Overlap and resource sharing in coteries of fruit-eating birds. Journal of Tropical Ecology, 29(5), 409-416. doi:10.1017/s0266467413000539"
Siilva 2006,"Silva, H. R. d., & Britto‐Pereira, M. C. d. (2006). How much fruit do fruit‐eating frogs eat? An investigation on the diet of Xenohyla truncata (Lissamphibia: Anura: Hylidae). Journal of Zoology, 270(4), 692-698. doi:10.1111/j.1469-7998.2006.00192.x"
Daly 1987,"Daly, D. C. (1987). Studies in neotropical Burseraceae I. a synopsis of the genus Crepidospermum. Brittonia, 39(1), 51-58. Retrieved from https://www.jstor.org/stable/2806974"
Darrault 2005,"Darrault, R. O., & Schlindwein, C. (2005). Limited fruit production in Hancornia speciosa (Apocynaceae) and pollination by nocturnal and diurnal insects. Biotropica, 37(3), 381-388. doi:10.1111/j.1744-7429.2005.00050.x"
Dávila 2020,"Dávila, N., Amorim, B. S., Fantin, C., & Cabral, F. N. (2020). Flora of Reserva Ducke, Amazonas, Brazil: Linaceae. Rodriguésia, 71. doi:10.1590/2175-7860202071120"
Daws 2008,"Daws, M. I., Crabtree, L. M., Dalling, J. W., Mullins, C. E., & Burslem, D. F. (2008). Germination responses to water potential in neotropical pioneers suggest large-seeded species take more risks. Annals of Botany, 102(6), 945-951. doi:10.1093/aob/mcn186"
Daws 2005,"Daws, M. I., Garwood, N. C., & Pritchard, H. W. (2005). Traits of recalcitrant seeds in a semi‐deciduous tropical forest in Panamá: some ecological implications. Functional Ecology, 19(5), 874-885. doi:10.1111/j.1365-2435.2005.01034.x"
Camara 2008,"Camara, C. d. A., Neto, J. C. d. A., Ferreira, V. M., Alves, E. U., & Moura, F. d. B. P. (2008). Caracterizacao morfometrica de fruto e sementes s efeito da temperatura na germinacao de Parkia pendula (willd.) Benth. ex walp. Ciência Florestal, 18(3), 281-290."
Figueiredo 1993,"Figueiredo, R. A. d. (1993). Ingestion of Ficus enormis seeds by howler monkeys (Alouatta fusca) in Brazil: effects on seed germination. Journal of Tropical Ecology, 9(4), 541-543. doi:10.1017/S0266467400007628"
Figueiredo 1996,"Figueiredo, R. A. d., & Sazima, M. (1996). Phenology and pollination ecology of three Brazilian fig species (Moraceae). Botanica Acta, 110(1), 73-78. doi:10.1111/j.1438-8677.1997.tb00613.x"
Jesus 2010,"Jesus, C. R. d., Silva, R. A. d., Souza Filho, M. F. d., Desus, E. G. d., & Zucchi, R. A. (2010). First record of Anastrepha pseudanomala Norrbom (Diptera: tephritidae) and its host in Brazil. Neotropical Entomology, 39(6), 1059-1060. doi:10.1590/S1519-566X2010000600036"
Melo 2015,"Melo, R. B. d., Franco, A. C., Silva, C. O., Piedade, M. T., & Ferreira, C. S. (2015). Seed germination and seedling development in response to submergence in tree species of the Central Amazonian floodplains. AoB Plants, 7. doi:10.1093/aobpla/plv041"
Oliveira 2017,"Oliveira, D. E. C. d., Resende, O., & Devilla, I. A. (2017). Mechanical properties of baru fruit (Dipteryx alata Vogel). Semina: Ciências Agrárias, 38(1). doi:10.5433/1679-0359.2017v38n1p185"
Martendal 2013,"Martendal, C. d. O., Bernardino, M. M., Pereira, F. D., Silva, F. G., Menezes, C. C. E. d., & Hara, A. C. B. d. A. M. (2013). In vitro cultivation of zygotic embryos from Murici (Byrsonima cydoniifolia A. Juss.): establishment, disinfection, and germination. Acta Scientiarum, 35(2). doi:10.4025/actasciagron.v35i2.15402"
Oyama 2011,"Oyama, S. d. O. O., & Souza, L. A. d. (2011). Morphology and anatomy of the developing fruit of Maclura tinctoria, Moraceae. Revista Brasil. Botany, 34(2), 187-195. doi:10.1590/S0100-84042011000200006"
Paula 2012,"Paula, A. S. d., Delgado, C. M. L., Paulilo, M. T. S., & Santos, M. (2012). Breaking physical dormancy of Cassia leptophylla and Senna macranthera (Fabaceae: Caesalpinioideae) seeds: water absorption and alternating temperatures. Seed Science Research, 22(4), 259-267. doi:10.1017/s096025851200013x"
Souza 2022,"Souza, É. R. d., Luz, A. R. M., Rocha, L., & Lewis, G. P. (2022). Molecular and morphological analysis supports the separation of Robrichiaas a genus distinct from Enterolobium (Leguminosae: Caesalpinioideae: Mimosoid clade). Systematic Botany, 47(1), 268-277. doi:10.1600/036364422x16442669847067"
Souza 2015,"Souza, T. V. d., Torres, I. C., Steiner, N., & Paulilo, M. T. S. (2015). Seed dormancy in tree species of the Tropical Brazilian Atlantic Forest and its relationships with seed traits and environmental conditions. Brazilian Journal of Botany, 38(2), 243-264. doi:10.1007/s40415-014-0129-3"
Stefano 2011,"Stefano, R. D. d., & Fernández-Concha, G. C. (2011). Morphology-inferred phylogeny and a revision of the genus Emmotum (Icacinaceae) 1. Annals of the Missouri Botanical Garden, 98(1), 1-27. doi:10.3417/2007129"
Deasey 2020,"Deasey, A. (2020). How drought, waterlogging, and light availability shape patterns of tropical tree distributions, in French Guiana. (Unpublished doctoral dissertation). University of Stirling, Scotland, UK."
Defler 1996,"Defler, T. R., & Defler, S. B. (1996). Diet of a group of Lagothrix lagothricha lagothricha in southeastern Colombia. International Journal of Primatology, 17(2), 161-190. doi:10.1007/bf02735446"
Delviani 2020,"Delviani, A., Putri, D. A., & Salamah, A. (2020). Morphological observation on the inflorescence development of Tridax procumbens, Eclipta prostrata, Eleutheranthera ruderalis, Synedrella nodiflora (Asteraceae, Heliantheae). IOP Conference Series: Earth and Environmental Science, 524(1). doi:10.1088/1755-1315/524/1/012003"
Dettke 2014,"Dettke, G. A., & Waechter, J. L. (2014). Estudo taxonômico das ervas-de-passarinho da Região Sul do Brasil: II. Viscaceae (Phoradendron). Rodriguésia, 65(4), 955-985. doi:10.1590/2175-7860201465409"
DeWalt 2003,"DeWalt, S. J. (2003). The invasive tropical shrub Clidemia hirta (Melastomataceae) in its native and introduced ranges: tests of hypotheses of invasion. (Unpublished doctoral dissertation). Lousiana State University, Baton Rouge, LA."
Dewalt 2004,"Dewalt, S. J., & Hamrick, J. L. (2004). Genetic variation of introduced Hawaiian and native Costa Rican populations of an invasive tropical shrub, Clidemia hirta (Melastomataceae). American Journal of Botany, 91(8), 1155-1162. doi:10.3732/ajb.91.8.1155"
Diby 2019,"Diby, L. A., Katou, S. Y., Dere, L. A. K., Kessé N’da, P., & Tiahou, G. G. (2019). Biochemical composition of the seed of Carapa procera (meliaceae) of Côte d’Ivoire. International Journal of Green and Herbal Chemistry, 8(3), 333-342. doi:10.24214/ijghc/hc/8/3/33342"
Dick 2008,"Dick, C. W., & Heuertz, M. (2008). The complex biogeographic history of a widespread tropical tree species. Evolution, 62(11), 2760-2774. doi:10.1111/j.1558-5646.2008.00506.x"
Dionisio 2019,"Dionisio, L. F. S., Auca, E. C., Schwartz, G., Bardales-Lozano, R. M., Agurto, J. J. M., & Corvera-Gomringer, R. (2019). Seedling production of Bertholletia excelsa in response to seed origin and position inside fruit. Revista Brasileira de Ciências Agrárias, 14(3), e5662. doi:10.5039/agraria.v14i3a5662"
Dittel 2015,"Dittel, J. W., Lambert, T. D., & Adler, G. H. (2015). Seed dispersal by rodents in a lowland forest in central Panama. Journal of Tropical Ecology, 31(5), 403-412. doi:10.1017/s0266467415000280"
Dodson 1978,"Dodson, C., & Gentry, A. (1978). Flora of Rio Palenque Science Center: Los Rios Province Ecuador. Selbyana, 4, 451-500. Retrieved from https://archive.org/details/selbyana-120203-118395/page/596/mode/1up"
Doligez 1997,"Doligez, A., & Joly, H. I. (1997). Mating system of Carapa procera (Meliaceae) in the French Guiana tropical forest. American Journal of Botany, 84(4), 461-470. doi:10.2307/2446022"
Domen 2018,"Domen, Y. S. M. (2018). Efeitos dos filtros ambentais na estrutura filogenetica de um cerrado. (Unpublished master's dissertation). Universidade Federal de Viçosa, Brazil."
Donatti 2007,"Donatti, C. I., Galetti, M., Pizo, M. A., Guimaraes P.R. Jr, & Jordano, P. (2007). Living in the land of ghosts: fruit traits and the importance of large mammals as seed dispersers in the Pantanal, Brazil. In Seed dispersal: theory and its application in a changing world (pp. 104-655). Oxfordshire, UK: CAB International."
Donatti 2009,"Donatti, C. I., Guimarães, P. R., & Galetti, M. (2009). Seed dispersal and predation in the endemic Atlantic rainforest palm Astrocaryum aculeatissimum across a gradient of seed disperser abundance. Ecological Research, 24(6), 1187-1195. doi:10.1007/s11284-009-0601-x"
Donatti 2011,"Donatti, C. L. (2011). Ecological studies on seed dispersal networks: insights from a diverse tropical ecosystem. (Unpublished doctoral dissertation). Standford University, CA, US. Standford University database."
Dorr 2012,"Dorr, L. J. (2012). Apeiba trombetensis (Malvaceae: Grewioideae), a new species from northern Brazil. Brittonia, 64(4), 374-380. doi:10.1007/s12228-012-9251-3"
Dorr 2014,"Dorr, L. J. (2014). Flora of Guaramacal (Venezuela): Monocotyledons (Vol. 100). WA, US: Smithsonian Institution Scholarly Press."
Santos et al. 2018,"Santos, J. V. d., Amorim, A. M., & Conceição, A. d. S. (2018). Malpighiaceae in the Raso da Catarina Ecoregion, Bahia, Brazil. Biota Neotropica, 18(3). doi:10.1590/1676-0611-bn-2017-0429"
Downey 2018,"Downey, H. (2018). Insect-mediated indirect interactions in tropical forest plant communities. (Unpublished doctoral dissertation). University of Oxford, Oxford, England."
Ducke 1945,"Ducke, A. (1945). Moraceae. In A. Ducke (Ed.), New forest trees and climbers of the Brazilian Amazon (Vol. 5, pp. 1-30). Brazil: Instituto Agronômico do Norte (IAN)."
Ducroquet 2007,"Ducroquet, J.-P. H. J., dos Santos, K. L., de Andrade, E. R., de Silva Boneti, J. I., Bonin, V., & Nodari, R. O. (2007). As primeiras cultivares brasileiras de goiabeira serrana: SCS 411 Alcántara e SCS 412 Helena. Germoplasma e lançamento de cultivares, 20(2), 77-80. Retrieved from https://publicacoes.epagri.sc.gov.br/RAC/article/view/894#:~:text=As%20cultivares%20ora%20lan%C3%A7adas%2C%20SCS%20411%20Alc%C3%A2ntara%20e,e%20sele%C3%A7%C3%A3o%20iniciado%20h%C3%A1%2020%20anos%20pela%20Epagri."
Ducroquet 2008,"Ducroquet, J.-P. H. J., Nunes, E. d. C., Guerra, M. P., & Nodari, R. O. (2008). Novas cultivares brasileiras de goiabeira serrana: SCS 414-Mattos e SCS 415-Nonante. Germoplasma, 21(2), 77-80. Retrieved from https://publicacoes.epagri.sc.gov.br/RAC/article/view/857"
Duncan 2019,"Duncan, L. M. (2019). Archaeological deposits, environmental impact and local soil formation at Marco Gonzalez, Belize. (Unpublished doctoral dissertation). University College London, London, England."
Dupuy 2008,"Dupuy, J. M., & Chazdon, R. L. (2008). Interacting effects of canopy gap, understory vegetation and leaf litter on tree seedling recruitment and composition in tropical secondary forests. Forest Ecology and Management, 255(11), 3716-3725. doi:10.1016/j.foreco.2008.03.021"
Echeverry 2021,"Echeverry, K. N., Ramírez, M. A., & Stevenson, Pablo R. (2021). Seed dispersal by reintroduced woolly monkeys suggest that plant traits are more important than learning. (Unpublished undergrad thesis). Universidad de Los Andes, Columbia."
Eguiarte 1985,"Eguiarte, L. E., & Rio, C. M. d. (1985). Feeding habits of the Citreoline Trogon in a tropical deciduous forest during the dry season. The Auk, 102(4), 872-874. doi:10.1093/auk/102.4.872"
Kalko 1996,"Kalko, E. K. V., Herre, E. A., Handley, C. O. Jr. (1996). Relation of fig fruit characteristics to fruit-eating bats in the new and old world tropics. Journal of Biogeography, 23(4), 565-576. Retrieved from https://www.jstor.org/stable/2845800"
Elumalai 2012,"Elumalai, A., Mathangi, N., Didala, A., Kasarla, R., & Venkatesh, Y. (2012). A review on Ceiba pentandra and its medicinal features. Asian Journal of Pharmacy and Technology, 2(3), 83-86. Retrieved from https://ajptonline.com/HTMLPaper.aspx?Journal=Asian+Journal+of+Pharmacy+and+Technology%3bPID%3d2012-2-3-1"
Erard 1989,"Erard, C., Thery, M., & Sabatier, D. (1989). Régime alimentaire de Rupicola rupicola (Cotingidae) en Guyane Française. Relations avec la frugivorie et la zoochorie. Revue d’Ecologie, Terre et Vie., 44(1), 47-74. Retrieved from https://hal.archives-ouvertes.fr/hal-03529407"
Ercisli 2007,"Ercisli, S., & Orhan, E. (2007). Chemical composition of white (Morus alba), red (Morus rubra) and black (Morus nigra) mulberry fruits. Food Chemistry, 103(4), 1380-1384. doi:10.1016/j.foodchem.2006.10.054"
Erkens 2017,"Erkens, R. H. J., Oosterhof, J., Westra, L. Y. T., & Maas, P. J. M. (2017). Revisions of Ruizodendron and Pseudephedranthus (Annonaceae) including a new species and an overview of most up-to-date revisions of Neotropical Annonaceae genera. PhytoKeys(86), 75-96. doi:10.3897/phytokeys.86.13773"
Escobar 2020,"Escobar, S., Razafindratsima, O. H., Montúfar, R., & Balslev, H. (2020). Post-dispersal seed removal in a large-seeded palm by frugivore mammals in Western Ecuador. Tropical Conservation Science, 13. doi:10.1177/1940082920947041"
Estrada 1984,"Estrada, A., Coates-Estrada, R., & Vazquez-Yanes, C. (1984). Observations on fruiting and dispersers of Cecropia obtusifolia at Los Tuxtlas, Mexico. Biotropica, 16(4), 315-318. doi:10.2307/2387942"
Fadiman 2003,"Fadiman, M. G. (2003). Fibers from the forest: Mestizo, Afro-Ecuadorian and Chachi Ethnobotany of Piquigua (Heteropsis ecuadorensis, Araceae) and Mocora (Astrocaryum standleyanum, Arecaceae) in Northwestern Ecuador. (Doctoral dissertation). University of Texas at Austin, Ann Arbor, MI. ProQuest Information and Learning Company database."
Falotico 2018,"Falotico, T., Coutinho, P. H. M., Bueno, C. Q., Rufo, H. P., & Ottoni, E. B. (2018). Stone tool use by wild capuchin monkeys (Sapajus libidinosus) at Serra das Confusoes National Park, Brazil. Primates, 59(4), 385-394. doi:10.1007/s10329-018-0660-0"
Fanciullino 2008,"Fanciullino, A.-L., Cercós, M., Dhuique-Mayer, C., Froelicher, Y., Talón, M., Ollitrault, P., & Morillon, R. (2008). Changes in carotenoid content and biosynthetic gene expression in juice sacs of four orange varieties (Citrus sinensis) differing in flesh fruit color. Journal of Agricultural and Food Chemistery, 56, 3628–3638. doi:10.1021/jf0732051"
Farias 2015,"Farias, J., Sanchez, M., Abreu, M. F., & Pedroni, F. (2015). Seed dispersal and predation of Buchenavia tomentosa Eichler (Combretaceae) in a Cerrado sensu stricto, midwest Brazil. Braz J Biol, 75(4 Suppl 1), S88-96. doi:10.1590/1519-6984.06214"
Feer 1999,"Feer, F. (1999). Effects of dung beetles (Scarabaeidae) on seeds dispersed by howler monkeys (Alouatta seniculus) in the French Guianan rain forest. Journal of Tropical Ecology, 15(2), 129-142. doi:10.1017/s0266467499000711"
Felipe 2020,"Felipe, S. R. E., & Roberto, F. J. (2020). Guapira siqueirae (Nyctaginaceae, Pisonieae), a new species from Espírito Santo State, Brazil. Phytotaxa, 460(2), 143-148. doi:10.11646/phytotaxa.460.2.4"
Fernandes-Júnior 2017,"Fernandes-Júnior, A. J., Nunes, C. d. S., & Gil, A. d. S. B. (2017). Flora das cangas da Serra dos Carajás, Pará, Brasil: Meliaceae. Rodriguésia, 68(3), 1035-1039. doi:10.1590/2175-7860201768337"
Silveira 2010,"Silveira, F. A. O., Santos, J. C., & Fernandes, W.. (2010). Seed germination ecophysiology of the wild pineapple, Ananas ananassoides (Baker) L.B.Sm. (Bromeliaceae). Scientific Note, 24(4), 1100-1103."
Felisberto 2020,"Felisberto, M. H. F., Costa, M. S., Boas, F. V., Leivas, C. L., Franco, C. M. L., Souza, S. M. d., . . . Cordeiro, L. M. C. (2020). Characterization and technological properties of peach palm (Bactris gasipaes var. gasipaes) fruit starch. Food Research International, 136, 109569. doi:10.1016/j.foodres.2020.109569"
Ferraz 2013,"Ferraz, I. D. K., Arruda, Y. M. B. C., & Van Staden, J. (2013). Smoke-water effect on the germination of Amazonian tree species. South African Journal of Botany, 87, 122-128. doi:10.1016/j.sajb.2013.04.004"
Ferreira 1979,"Ferreira, A. G., & Handro, W. (1979). Aspects of seed germination in Araucsri angustifiolia (Bert.) O. Ktza. Revista Brasileira de Botânica, 2, 7-13. Retrieved from https://www.researchgate.net/publication/289245292_Aspects_of_seed_germination_in_Araucaria_angustifolia_Bert_O_Kuntz"
Ferreira 2020,"Ferreira, C. D., Silva-Cardoso, I. M. A., Ferreira, J. C. B., Da Silva Costa, F. H., & Scherwinski-Pereira, J. E. (2020). Morphostructural and histochemical dynamics of Euterpe precatoria (Arecaceae) germination. Journal of Plant Research, 133(5), 693-713. doi:10.1007/s10265-020-01219-7"
Ferreira 2016,"Ferreira, D. S., Gomes, A. L., Gomes da Silva, M., Alves, A. B., Dall Agnol, W. H., Ferrari, R. A., . . . Bertoldo Pacheco, M. T. (2016). Antioxidant capacity and chemical characterization of Açaí (Euterpe oleracea Mart.) fruit fractions. Food Science and Technology, 4(5), 95-102. doi:10.13189/fst.2016.040502"
Ferreira 2010,"Ferreira, R. G., Emidio, R. A., & Jerusalinsky, L. (2010). Three stones for three seeds: natural occurrence of selective tool use by Capuchins (Cebus libidinosus) based on an analysis of the weight of stones found at nutting sites. American Journal of Primatology, 72, 270-275. doi:10.1002/ajp.20771"
Flores 2021,"Flores, B. M., & Holmgren, M. (2021). Why forest fails to recover after repeated wildfires in Amazonian floodplains? Experimental evidence on tree recruitment limitation. Journal of Ecology, 109(10), 3473-3486. doi:10.1111/1365-2745.13769"
Flores 2004,"Flores, E. M. (2004). Minquartia guianensis Aubl. In J. A. Vozzo (Ed.), Tropical tree seed manual. Washington DC: U.S. Department of Agriculture, Forest Service."
Fonseca 2022,"Fonseca, A. M. A., Geraldi, M. V., Junior, M. R. M., Silvestre, A. J. D., & Rocha, S. M. (2022). Purple passion fruit (Passiflora edulis f. edulis): A comprehensive review on the nutritional value, phytochemical profile and associated health effects. Food Res Int, 160, 111665. doi:10.1016/j.foodres.2022.111665"
Forget 1992,"Forget, P.-M. (1992). Seed removal and seed fate in Gustavia superba (Lecythidaceae). Biotropica, 24(4), 408-414. doi:10.2307/2388611"
Forget 1991,"Forget, P.-M., & Milleron, T. (1991). Evidence for secondary seed dispersal by rodents in Panama. Oecologia, 87, 596-599."
Forget 2001,"Forget, P.-M., Rankin-De Merona, J. M., & Juillot, C. (2001). The effects of forest type, harvesting and stand refinement on early seedling recruitment in a tropical rain forest. Journal of Tropical Ecology, 17(4), 593-609. doi:10.1017/s0266467401001444"
Forget 2005,"Forget, P.-M., & Wenny, D. (2005). How to elucidate seed fate? A review of methods used to study seed removal and secondary seed dispersal. In Seed fate: predation, dispersal and seedling establishment (pp. 379-393). UK: CABI."
Forget 2007,"Forget, P. M., & Jansen, P. A. (2007). Hunting increases dispersal limitation in the tree Carapa procera, a nontimber forest product. Conservation Biology, 21(1), 106-113. doi:10.1111/j.1523-1739.2006.00590.x"
Forget 2006,"Forget, P. M., Milleron, T., Feer, F., Henry, O., & Dubost, G. (2006). Effects of Dispersal Pattern and Mammalian Herbivores on Seedling Recruitment for Virola michelii (Myristicaceae) in French Guiana1. Biotropica, 32(3), 452-462. doi:10.1111/j.1744-7429.2000.tb00492.x"
Fournier 2004,"Fournier, L. A. (2004). Cecropia obtusifolia Bertol. In J. A. Vozzo (Ed.), Tropical tree seed manual. Washington DC: United States Department of Agriculture Forest Service."
Fragoso 1994,"Fragoso, J. M. V. (1994). Large mammals and the community dynamics of an Amazonian rain forest. (Unpublished doctoral dissertation). University of Florida, Gainesville, FL."
Francis 2004,"Francis, J. K. (2004). Wildland shrubs of the United States and its territories: thamnic descriptions: volume 1 (Vol. 1). San Juan, PR: USA: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station."
Franco-Mora 2015,"Franco-Mora, O., Morales P, A. A., Mirelles V, A. D., Castañeda-Vildózola, A., & Sánchez-Pale, J. R. (2015). Searching alternative uses for Cissus tiliacea Kunth fruit in Central Mexico: seed oil and fruit liquor. Genetic Resources and Crop Evolution, 63(1), 141-149. doi:10.1007/s10722-015-0343-2"
Frédéric 2009,"Frédéric, M. B. J. (2009). Survey of the Menispermaceae endocarps. Adansonia, 31(1), 47-87. doi:10.5252/a2009n1a4"
Martins 2022,"Martins, G. R., Mattos, M. M. G., Nascimento, F. M., Brum, F. L., Mohana-Borges, R., Figueiredo, N. G., Neto, D. F. M., Domont, B., Nogueira, F. C. S., . . . Silva, A. S. d. (2022). Phenolic profile and antioxidant properties in extracts of developing açaí (Euterpe oleracea Mart.) seeds. Journal of Agricultural and Food Chemistery, 70(51), 16218-16228. doi:10.1021/acs.jafc.2c07028"
Galetti 2011,"Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193. doi:10.1590/S1676-06032011000100019"
Gallery 2009,"Gallery, R. E., Moore, D. J. P., & Dalling, J. W. (2009). Interspecific variation in susceptibility to fungal pathogens in seeds of 10 tree species in the neotropical genus Cecropia. Journal of Ecology, 98(1), 147-155. doi:10.1111/j.1365-2745.2009.01589.x"
Gálvez 2007,"Gálvez, D., & Jansen, P. A. (2007). Bruchid beetle infestation and the value of Attalea butyracea endocarps for neotropical rodents. Journal of Tropical Ecology, 23(3), 381-384. doi:10.1017/s0266467407003975"
García 2020,"García, D. G. (2020). Diversidad funcional de aves frugívoras y plantas ornitócoras en un gradiente de regeneración de la cordillera Central de Colombia. (Unpublished master’s thesis). Pontificia Universidad Javeriana, Bogotá, Colombia."
Garcia-Orth 2008,"Garcia‐Orth, X., & Martínez‐Ramos, M. (2008). Seed Dynamics of Early and Late Successional Tree Species in Tropical Abandoned Pastures: Seed Burial as a Way of Evading Predation. Restoration Ecology, 16(3), 435-443. doi:10.1111/j.1526-100X.2007.00320.x"
New York Botanical Garden 1905+,"New York Botanical Garden. (1905+). North America flora. Bronx, NY: New York Botanical Garden."
Gardner 2021,"Gardner, E. M., Garner, M., Cowan, R., Dodsworth, S., Epitawalage, N., Arifiani, D., . . . Hipp, A. L. (2021). Repeated parallel losses of inflexed stamens in Moraceae: Phylogenomics and generic revision of the tribe Moreae and the reinstatement of the tribe Olmedieae (Moraceae). Taxon, 70(5), 946-988. doi:10.1002/tax.12526"
Gentile 2016,"Gentile, C., Reig, C., Corona, O., Todaro, A., Mazzaglia, A., Perrone, A., . . . Farina, V. (2016). Pomological traits, sensory profile and nutraceutical properties of nine cultivars of Loquat (Eriobotrya japonica Lindl.) fruits grown in Mediterranean area. Plant Foods for Human Nutrition, 71(3), 330-338. doi:10.1007/s11130-016-0564-3"
Gillett 1971,"Gillett, J. B., Polhill, R. M., & Verdcourt, B. (1971). Leguminosae (part 4) subfamily Papilionoideae (2). In Flora of Tropical East Africa (pp. 503-1109). London, UK: Kew Royal Botanical Gardens."
Gillij 2021,"Gillij, Y. G., Galussi, A. A., Prand, M. F., & Perisse, P. (2021). Quality and physical dormancy of seeds from Desmodium incanum DC. in the Entre Rios province, Argentina. Pastos y Forrajes, 44(1). Retrieved from link.gale.com/apps/doc/A663350163/AONE?u=nysl_oweb&sid=googleScholar&xid=b95b54fa"
